addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
331,East Hampton Street,,,Staunton,VA,24401,38.1427539,-79.06974808,,
333,East Hampton Street,,,Staunton,VA,24401,38.14272353,-79.06962722,,
510,East Hampton Street,,,Staunton,VA,24401,38.14262772,-79.0718056,,
797,East Hampton Street,,,Staunton,VA,24401,38.13996527,-79.06402517,,
1,East Johnson Street,,,Staunton,VA,24401,38.14870575,-79.07218263,,
6,East Johnson Street,,,Staunton,VA,24401,38.14833013,-79.07232505,,
14,East Johnson Street,,,Staunton,VA,24401,38.14835009,-79.0717696,,
15,East Johnson Street,,,Staunton,VA,24401,38.14862421,-79.07173242,,
17,East Johnson Street,,,Staunton,VA,24401,38.1486258,-79.07168194,,
18,East Johnson Street,,,Staunton,VA,24401,38.14848492,-79.07166602,,
19,East Johnson Street,,A,Staunton,VA,24401,38.14865147,-79.0716413,,
19,East Johnson Street,,B,Staunton,VA,24401,38.14867808,-79.07164567,,
19,East Johnson Street,,C,Staunton,VA,24401,38.1487009,-79.07164722,,
19,East Johnson Street,,,Staunton,VA,24401,38.14862973,-79.07162328,,
2,East Liberty Street,,A,Staunton,VA,24401,38.14138444,-79.07368275,,
2,East Liberty Street,,B,Staunton,VA,24401,38.14133809,-79.07371399,,
2,East Liberty Street,,,Staunton,VA,24401,38.14129668,-79.07366976,,
3,East Liberty Street,,,Staunton,VA,24401,38.14165775,-79.07373255,,
5,East Liberty Street,,,Staunton,VA,24401,38.14159621,-79.07356369,,
6,East Liberty Street,,,Staunton,VA,24401,38.14138288,-79.07352711,,
9,East Liberty Street,,,Staunton,VA,24401,38.14156429,-79.0734021,,
10,East Liberty Street,,A,Staunton,VA,24401,38.14137084,-79.073425,,
10,East Liberty Street,,B,Staunton,VA,24401,38.1413565,-79.07333485,,
10,East Liberty Street,,,Staunton,VA,24401,38.1412976,-79.07338094,,
11,East Liberty Street,,,Staunton,VA,24401,38.14156162,-79.0732451,,
14,East Liberty Street,,,Staunton,VA,24401,38.14137917,-79.07323058,,
18,East Liberty Street,,,Staunton,VA,24401,38.14140061,-79.07307377,,
19,East Liberty Street,,,Staunton,VA,24401,38.14156667,-79.07292028,,
20,East Liberty Street,,,Staunton,VA,24401,38.1413893,-79.07292324,,
21,East Liberty Street,,,Staunton,VA,24401,38.14166532,-79.07271484,,
22,East Liberty Street,,,Staunton,VA,24401,38.14129518,-79.07275064,,
1,East Peabody Street,,A,Staunton,VA,24401,38.14243664,-79.07356963,,
1,East Peabody Street,,B,Staunton,VA,24401,38.1425278,-79.07347237,,
1,East Peabody Street,,,Staunton,VA,24401,38.14247616,-79.0735449,,
5,East Peabody Street,,A,Staunton,VA,24401,38.14239445,-79.07340764,,
5,East Peabody Street,,B,Staunton,VA,24401,38.14252523,-79.07337685,,
5,East Peabody Street,,,Staunton,VA,24401,38.14245564,-79.07339126,,
6,East Peabody Street,,A,Staunton,VA,24401,38.1421826,-79.07344587,,
6,East Peabody Street,,B,Staunton,VA,24401,38.14212174,-79.0735276,,
6,East Peabody Street,,,Staunton,VA,24401,38.14211877,-79.07345032,,
9,East Peabody Street,,,Staunton,VA,24401,38.14237313,-79.07328244,,
10,East Peabody Street,,,Staunton,VA,24401,38.14211659,-79.07331146,,
11,East Peabody Street,,,Staunton,VA,24401,38.14235595,-79.07313094,,
14,East Peabody Street,,,Staunton,VA,24401,38.14211788,-79.07316689,,
15,East Peabody Street,,,Staunton,VA,24401,38.14232456,-79.07295056,,
18,East Peabody Street,,,Staunton,VA,24401,38.14208374,-79.07301178,,
20,East Peabody Street,,,Staunton,VA,24401,38.14211107,-79.07285049,,
21,East Peabody Street,,,Staunton,VA,24401,38.14230022,-79.07279446,,
22,East Peabody Street,,,Staunton,VA,24401,38.14196522,-79.07258797,,
25,East Peabody Street,,,Staunton,VA,24401,38.14228186,-79.07263993,,
29,East Peabody Street,,,Staunton,VA,24401,38.14225737,-79.07251561,,
14,Edgewood Road,,,Staunton,VA,24401,38.16014315,-79.06769384,,
33,Edgewood Road,,,Staunton,VA,24401,38.16084375,-79.06677624,,
39,Edgewood Road,,,Staunton,VA,24401,38.16043352,-79.06645573,,
45,Edgewood Road,,,Staunton,VA,24401,38.15992604,-79.06574836,,
102,Edgewood Road,,,Staunton,VA,24401,38.15966587,-79.06736762,,
201,Edgewood Road,,,Staunton,VA,24401,38.15989906,-79.06505289,,
