addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
1824,Vinson Street,,,Staunton,VA,24401,38.17400216,-79.07580327,,
1825,Vinson Street,,,Staunton,VA,24401,38.17467068,-79.0755931,,
1827,Vinson Street,,,Staunton,VA,24401,38.17477766,-79.07534419,,
1828,Vinson Street,,,Staunton,VA,24401,38.17426606,-79.07581131,,
1829,Vinson Street,,,Staunton,VA,24401,38.17490999,-79.07559352,,
1830,Vinson Street,,,Staunton,VA,24401,38.17441681,-79.0758444,,
1832,Vinson Street,,,Staunton,VA,24401,38.17453231,-79.07581937,,
1834,Vinson Street,,,Staunton,VA,24401,38.17470705,-79.07582967,,
1838,Vinson Street,,,Staunton,VA,24401,38.17490988,-79.07585209,,
1800A,Vinson Street,,,Staunton,VA,24401,38.17234328,-79.07591833,,
1804A,Vinson Street,,,Staunton,VA,24401,38.17241634,-79.07593746,,
1820A,Vinson Street,,,Staunton,VA,24401,38.17387591,-79.07599297,,
1823A,Vinson Street,,,Staunton,VA,24401,38.17453133,-79.07554444,,
1829A,Vinson Street,,,Staunton,VA,24401,38.17484601,-79.0753588,,
1834A,Vinson Street,,,Staunton,VA,24401,38.17479592,-79.07602587,,
1838A,Vinson Street,,,Staunton,VA,24401,38.17486593,-79.07602786,,
12,Virginia Avenue,,,Staunton,VA,24401,38.15779671,-79.07162358,,
14,Virginia Avenue,,,Staunton,VA,24401,38.15792647,-79.07171523,,
15,Virginia Avenue,,1,Staunton,VA,24401,38.15804541,-79.07152031,,
15,Virginia Avenue,,2,Staunton,VA,24401,38.15808272,-79.07157954,,
15,Virginia Avenue,,,Staunton,VA,24401,38.1581711,-79.07143743,,
19,Virginia Avenue,,1,Staunton,VA,24401,38.15821748,-79.07169368,,
19,Virginia Avenue,,2,Staunton,VA,24401,38.15816755,-79.07170664,,
19,Virginia Avenue,,3,Staunton,VA,24401,38.15828287,-79.07170544,,
19,Virginia Avenue,,4,Staunton,VA,24401,38.15827978,-79.07154825,,
19,Virginia Avenue,,,Staunton,VA,24401,38.15823199,-79.07161454,,
100,Virginia Avenue,,,Staunton,VA,24401,38.16325011,-79.07365302,,
101,Virginia Avenue,,,Staunton,VA,24401,38.16292001,-79.07369484,,
200,Virginia Avenue,,,Staunton,VA,24401,38.16069776,-79.07314359,,
211,Virginia Avenue,,,Staunton,VA,24401,38.1590346,-79.07210167,,
213,Virginia Avenue,,,Staunton,VA,24401,38.15912675,-79.07238732,,
215,Virginia Avenue,,,Staunton,VA,24401,38.15929382,-79.07252384,,
302,Virginia Avenue,,,Staunton,VA,24401,38.15992397,-79.07295819,,
307,Virginia Avenue,,,Staunton,VA,24401,38.16071668,-79.07254511,,
50,VSDB Drive,,,Staunton,VA,24401,38.15077082,-79.06394877,,
100,VSDB Drive,,,Staunton,VA,24401,38.15094466,-79.06446639,,
101,VSDB Drive,,5,Staunton,VA,24401,38.1509677,-79.06475554,,
101,VSDB Drive,,,Staunton,VA,24401,38.15087489,-79.06494004,,
102,VSDB Drive,,,Staunton,VA,24401,38.15060302,-79.06465597,,
104,VSDB Drive,,,Staunton,VA,24401,38.15034207,-79.06420537,Virginia School for the Deaf and the Blind Office of Public Safety,verify name
500,Wakefield Circle,,,Staunton,VA,24401,38.17958163,-79.05160176,,
501,Wakefield Circle,,,Staunton,VA,24401,38.17940224,-79.05116975,,
502,Wakefield Circle,,,Staunton,VA,24401,38.17985377,-79.05138454,,
503,Wakefield Circle,,,Staunton,VA,24401,38.17977541,-79.05075779,,
504,Wakefield Circle,,,Staunton,VA,24401,38.18017488,-79.05095634,,
506,Wakefield Circle,,,Staunton,VA,24401,38.18023234,-79.05027249,,
507,Wakefield Circle,,,Staunton,VA,24401,38.18000427,-79.0499907,,
508,Wakefield Circle,,,Staunton,VA,24401,38.18104305,-79.0499431,,
601,Wakefield Circle,,,Staunton,VA,24401,38.17997472,-79.04940659,,
1001,Walnut Street,,,Staunton,VA,24401,38.14949739,-79.08629131,,
1100,Walnut Street,,,Staunton,VA,24401,38.14937223,-79.08660559,,
1102,Walnut Street,,1,Staunton,VA,24401,38.14947384,-79.08682115,,
1102,Walnut Street,,2,Staunton,VA,24401,38.14946869,-79.08675146,,
1102,Walnut Street,,3,Staunton,VA,24401,38.14942946,-79.0867055,,
1102,Walnut Street,,,Staunton,VA,24401,38.14937601,-79.08677707,,
1103,Walnut Street,,,Staunton,VA,24401,38.14963569,-79.08667603,,
1108,Walnut Street,,,Staunton,VA,24401,38.14954746,-79.08692926,,
1109,Walnut Street,,,Staunton,VA,24401,38.14971179,-79.08687909,,
1112,Walnut Street,,,Staunton,VA,24401,38.14961927,-79.08715006,,
1113,Walnut Street,,1,Staunton,VA,24401,38.14975989,-79.0870492,,
1113,Walnut Street,,2,Staunton,VA,24401,38.14980717,-79.0870663,,
1113,Walnut Street,,,Staunton,VA,24401,38.14984114,-79.08700873,,
1119,Walnut Street,,1,Staunton,VA,24401,38.1498618,-79.0872738,,
1119,Walnut Street,,2,Staunton,VA,24401,38.14988294,-79.08736771,,
1119,Walnut Street,,,Staunton,VA,24401,38.14995335,-79.08727943,,
1120,Walnut Street,,1,Staunton,VA,24401,38.14969414,-79.08736007,,
1120,Walnut Street,,2,Staunton,VA,24401,38.1497382,-79.0874784,,
1120,Walnut Street,,,Staunton,VA,24401,38.14966624,-79.08748931,,
1203,Walnut Street,,1,Staunton,VA,24401,38.14994978,-79.08755085,,
1203,Walnut Street,,2,Staunton,VA,24401,38.14997764,-79.08762383,,
1203,Walnut Street,,,Staunton,VA,24401,38.15007254,-79.08756204,,
1204,Walnut Street,,,Staunton,VA,24401,38.14979469,-79.08768566,,
1207,Walnut Street,,,Staunton,VA,24401,38.15001535,-79.08774722,,
1211,Walnut Street,,1,Staunton,VA,24401,38.1501102,-79.08790654,,
1211,Walnut Street,,2,Staunton,VA,24401,38.15011093,-79.08797689,,
1211,Walnut Street,,,Staunton,VA,24401,38.15015934,-79.08789909,,
1212,Walnut Street,,,Staunton,VA,24401,38.1499261,-79.08799866,,
1215,Walnut Street,,1,Staunton,VA,24401,38.15018003,-79.08812448,,
1215,Walnut Street,,2,Staunton,VA,24401,38.1501453,-79.08802933,,
1215,Walnut Street,,3,Staunton,VA,24401,38.15019839,-79.08805719,,
1215,Walnut Street,,,Staunton,VA,24401,38.15024212,-79.08802776,,
1216,Walnut Street,,,Staunton,VA,24401,38.14998482,-79.08815548,,
1219,Walnut Street,,,Staunton,VA,24401,38.1502446,-79.08824454,,
1220,Walnut Street,,,Staunton,VA,24401,38.1500577,-79.08832117,,
1007,Warwick Drive,,,Staunton,VA,24401,38.157229,-79.06528077,,
1014,Warwick Drive,,,Staunton,VA,24401,38.15710938,-79.06565459,,
1015,Warwick Drive,,,Staunton,VA,24401,38.1574884,-79.06528812,,
