addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
1934,Springhill Road,,,Staunton,VA,24401,38.1868184,-79.06069658,,
1937,Springhill Road,,,Staunton,VA,24401,38.18462187,-79.05192099,,
1939,Springhill Road,,,Staunton,VA,24401,38.18563479,-79.04887338,,
1949,Springhill Road,,,Staunton,VA,24401,38.19016074,-79.04368405,,
2001,Springhill Road,,,Staunton,VA,24401,38.18748349,-79.05474028,,
1005B,Springhill Road,,,Staunton,VA,24401,38.16363977,-79.07767278,,
1122A,Springhill Road,,,Staunton,VA,24401,38.16537618,-79.07809634,,
1414A,Springhill Road,,,Staunton,VA,24401,38.16751361,-79.07731302,,
1512A,Springhill Road,,,Staunton,VA,24401,38.16870213,-79.07667913,,
1730A,Springhill Road,,,Staunton,VA,24401,38.17478036,-79.0738636,,
1803A,Springhill Road,,,Staunton,VA,24401,38.17699192,-79.07196082,,
1814A,Springhill Road,,,Staunton,VA,24401,38.17865368,-79.07547937,,
1814B,Springhill Road,,,Staunton,VA,24401,38.17938727,-79.07632058,,
1814C,Springhill Road,,,Staunton,VA,24401,38.17931473,-79.07756969,,
1824A,Springhill Road,,,Staunton,VA,24401,38.17939134,-79.07360447,,
1824B,Springhill Road,,,Staunton,VA,24401,38.18004552,-79.0759908,,
1824C,Springhill Road,,,Staunton,VA,24401,38.18053076,-79.07511333,,
1824D,Springhill Road,,,Staunton,VA,24401,38.18086644,-79.07566988,,
1824E,Springhill Road,,,Staunton,VA,24401,38.18157519,-79.07664874,,
1824F,Springhill Road,,,Staunton,VA,24401,38.18132868,-79.07909142,,
1824G,Springhill Road,,,Staunton,VA,24401,38.18171739,-79.07840329,,
1824H,Springhill Road,,,Staunton,VA,24401,38.18194246,-79.07720517,,
1824I,Springhill Road,,,Staunton,VA,24401,38.18025086,-79.07348513,,
1824J,Springhill Road,,,Staunton,VA,24401,38.1795143,-79.07211479,,
1831A,Springhill Road,,,Staunton,VA,24401,38.17817224,-79.06952584,,
1838A,Springhill Road,,,Staunton,VA,24401,38.18088606,-79.07215435,,
1838B,Springhill Road,,,Staunton,VA,24401,38.18107603,-79.07405673,,
1838C,Springhill Road,,,Staunton,VA,24401,38.18157774,-79.07497077,,
1838D,Springhill Road,,,Staunton,VA,24401,38.18245508,-79.07592448,,
1838E,Springhill Road,,,Staunton,VA,24401,38.18360795,-79.07529844,,
1838F,Springhill Road,,,Staunton,VA,24401,38.18442858,-79.07670999,,
1838G,Springhill Road,,,Staunton,VA,24401,38.18410074,-79.07537179,,
1838H,Springhill Road,,,Staunton,VA,24401,38.18404801,-79.07413632,,
1838I,Springhill Road,,,Staunton,VA,24401,38.18435164,-79.07777024,,
1848A,Springhill Road,,,Staunton,VA,24401,38.18127625,-79.07086961,,
1848B,Springhill Road,,,Staunton,VA,24401,38.18334449,-79.07383582,,
1848C,Springhill Road,,,Staunton,VA,24401,38.18313057,-79.07248054,,
1848D,Springhill Road,,,Staunton,VA,24401,38.18283285,-79.07139742,,
1848E,Springhill Road,,,Staunton,VA,24401,38.18257152,-79.07026048,,
1856A,Springhill Road,,,Staunton,VA,24401,38.18433162,-79.07315545,,
1856B,Springhill Road,,,Staunton,VA,24401,38.18400428,-79.07195626,,
1856C,Springhill Road,,,Staunton,VA,24401,38.1843626,-79.07109472,,
1856D,Springhill Road,,,Staunton,VA,24401,38.18385926,-79.07070334,,
1864A,Springhill Road,,,Staunton,VA,24401,38.18374963,-79.06954346,,
1864B,Springhill Road,,,Staunton,VA,24401,38.18486828,-79.07078117,,
1864C,Springhill Road,,,Staunton,VA,24401,38.18498864,-79.0697549,,
1864D,Springhill Road,,,Staunton,VA,24401,38.18529629,-79.0688325,,
1864E,Springhill Road,,,Staunton,VA,24401,38.18335534,-79.06836432,,
1864F,Springhill Road,,,Staunton,VA,24401,38.18251094,-79.06759589,,
1872A,Springhill Road,,,Staunton,VA,24401,38.18383261,-79.06648071,,
1872B,Springhill Road,,,Staunton,VA,24401,38.18516279,-79.06796461,,
1872C,Springhill Road,,,Staunton,VA,24401,38.18524394,-79.06721718,,
1872D,Springhill Road,,,Staunton,VA,24401,38.18432739,-79.06614994,,
833A,Springhill Road,,,Staunton,VA,24401,38.16116894,-79.07818077,,
105,Sproul Lane,,,Staunton,VA,24401,38.17051963,-79.0562938,,
107,Sproul Lane,,,Staunton,VA,24401,38.17053747,-79.05608551,,
111,Sproul Lane,,,Staunton,VA,24401,38.17058079,-79.05573302,,
112,Sproul Lane,,,Staunton,VA,24401,38.17095828,-79.05576731,,
113,Sproul Lane,,,Staunton,VA,24401,38.17078567,-79.05538052,,
115,Sproul Lane,,,Staunton,VA,24401,38.17100398,-79.05533072,,
116,Sproul Lane,,,Staunton,VA,24401,38.17118669,-79.0556774,,
119,Sproul Lane,,,Staunton,VA,24401,38.17122733,-79.05526086,,
120,Sproul Lane,,,Staunton,VA,24401,38.17135553,-79.05560587,,
122,Sproul Lane,,,Staunton,VA,24401,38.17150558,-79.0555748,,
124,Sproul Lane,,,Staunton,VA,24401,38.17166603,-79.0555537,,
125,Sproul Lane,,,Staunton,VA,24401,38.17149847,-79.05521759,,
126,Sproul Lane,,,Staunton,VA,24401,38.17180714,-79.05552577,,
127,Sproul Lane,,,Staunton,VA,24401,38.17172778,-79.05517024,,
128,Sproul Lane,,,Staunton,VA,24401,38.17192709,-79.0554999,,
129,Sproul Lane,,,Staunton,VA,24401,38.17203143,-79.05505203,,
130,Sproul Lane,,,Staunton,VA,24401,38.17214431,-79.05540112,,
125A,Sproul Lane,,,Staunton,VA,24401,38.17140403,-79.05507266,,
616,Spruce Street,,,Staunton,VA,24401,38.1644299,-79.07840601,,
621,Spruce Street,,,Staunton,VA,24401,38.16472118,-79.07830657,,
622,Spruce Street,,,Staunton,VA,24401,38.16454111,-79.0787216,,
623,Spruce Street,,,Staunton,VA,24401,38.16468827,-79.07853975,,
627,Spruce Street,,,Staunton,VA,24401,38.16477305,-79.07885514,,
632,Spruce Street,,,Staunton,VA,24401,38.16461715,-79.07902129,,
634,Spruce Street,,,Staunton,VA,24401,38.16468843,-79.07921604,,
635,Spruce Street,,,Staunton,VA,24401,38.1648513,-79.07906557,,
1219,Stack Street,,,Staunton,VA,24401,38.14161946,-79.08311902,,
1220,Stack Street,,,Staunton,VA,24401,38.14138401,-79.08368535,,
1229,Stack Street,,1,Staunton,VA,24401,38.14144414,-79.08326352,,
1229,Stack Street,,2,Staunton,VA,24401,38.14140835,-79.0832618,,
1229,Stack Street,,3,Staunton,VA,24401,38.14139978,-79.08331475,,
1229,Stack Street,,4,Staunton,VA,24401,38.14136078,-79.08331098,,
1229,Stack Street,,,Staunton,VA,24401,38.14132067,-79.08315959,,
1233,Stack Street,,,Staunton,VA,24401,38.1412439,-79.08351465,,
18,Stafford Street,,,Staunton,VA,24401,38.14847135,-79.08067066,,
20,Stafford Street,,,Staunton,VA,24401,38.1484212,-79.08062341,,
23,Stafford Street,,,Staunton,VA,24401,38.14821381,-79.08022859,,
26,Stafford Street,,,Staunton,VA,24401,38.14821741,-79.08059476,,
30,Stafford Street,,,Staunton,VA,24401,38.14813088,-79.08064543,,
101,Stafford Street,,,Staunton,VA,24401,38.14773599,-79.08042174,,
103,Stafford Street,,,Staunton,VA,24401,38.1476716,-79.08041495,,
105,Stafford Street,,,Staunton,VA,24401,38.14760124,-79.08041062,,
109,Stafford Street,,,Staunton,VA,24401,38.14749818,-79.08040603,,
110,Stafford Street,,,Staunton,VA,24401,38.1474546,-79.08059646,,
113,Stafford Street,,,Staunton,VA,24401,38.14741431,-79.08040515,,
114,Stafford Street,,,Staunton,VA,24401,38.14734367,-79.08058051,,
115,Stafford Street,,,Staunton,VA,24401,38.14737106,-79.08033635,,
116,Stafford Street,,,Staunton,VA,24401,38.14724757,-79.08057096,,
117,Stafford Street,,2-Jan,Staunton,VA,24401,38.14733008,-79.08029964,,
117,Stafford Street,,,Staunton,VA,24401,38.14730144,-79.08039604,,
119,Stafford Street,,2-Jan,Staunton,VA,24401,38.1472156,-79.08033504,,
119,Stafford Street,,,Staunton,VA,24401,38.14718731,-79.08038674,,
121,Stafford Street,,2-Jan,Staunton,VA,24401,38.1471206,-79.08034018,,
121,Stafford Street,,,Staunton,VA,24401,38.14713608,-79.08038452,,
122,Stafford Street,,,Staunton,VA,24401,38.14707334,-79.08060301,,
123,Stafford Street,,,Staunton,VA,24401,38.14707454,-79.08017154,,
126,Stafford Street,,,Staunton,VA,24401,38.14694466,-79.08058275,,
127,Stafford Street,,,Staunton,VA,24401,38.14696212,-79.08036784,,
129,Stafford Street,,2-Jan,Staunton,VA,24401,38.14687806,-79.08033618,,
129,Stafford Street,,A,Staunton,VA,24401,38.14682205,-79.08036586,,
129,Stafford Street,,,Staunton,VA,24401,38.14684016,-79.08029801,,
130,Stafford Street,,,Staunton,VA,24401,38.1467972,-79.08059586,,
131,Stafford Street,,,Staunton,VA,24401,38.14675303,-79.08035738,,
135,Stafford Street,,2-Jan,Staunton,VA,24401,38.14660638,-79.08030676,,
135,Stafford Street,,,Staunton,VA,24401,38.14664805,-79.08034896,,
138,Stafford Street,,,Staunton,VA,24401,38.14654415,-79.08050228,,
139,Stafford Street,,2-Jan,Staunton,VA,24401,38.14647502,-79.08028513,,
139,Stafford Street,,,Staunton,VA,24401,38.14653706,-79.08034047,,
101,State Street,,2-Jan,Staunton,VA,24401,38.14789582,-79.06879078,,
101,State Street,,,Staunton,VA,24401,38.14793932,-79.06848534,,
201,State Street,,,Staunton,VA,24401,38.14768858,-79.06921975,ABC Store Number 122,verify name
101A,State Street,,,Staunton,VA,24401,38.14786757,-79.06869472,,
450,Statler Boulevard,,,Staunton,VA,24401,38.15097423,-79.05328656,,
460,Statler Boulevard,,,Staunton,VA,24401,38.14862877,-79.05378769,,
