addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
1104A,Middlebrook Avenue,,,Staunton,VA,24401,38.13481306,-79.08475727,,
1104B,Middlebrook Avenue,,,Staunton,VA,24401,38.13463329,-79.0848854,,
1104C,Middlebrook Avenue,,,Staunton,VA,24401,38.13445412,-79.08501155,,
1106A,Middlebrook Avenue,,,Staunton,VA,24401,38.13246732,-79.08119193,,
1112A,Middlebrook Avenue,,,Staunton,VA,24401,38.13517477,-79.08602032,,
1122A,Middlebrook Avenue,,,Staunton,VA,24401,38.13483611,-79.08626103,,
1122B,Middlebrook Avenue,,,Staunton,VA,24401,38.13447229,-79.08652407,,
1122C,Middlebrook Avenue,,,Staunton,VA,24401,38.13408577,-79.0852937,,
1122D,Middlebrook Avenue,,,Staunton,VA,24401,38.13379617,-79.085567,,
1126A,Middlebrook Avenue,,,Staunton,VA,24401,38.1325294,-79.08746453,,
1128A,Middlebrook Avenue,,,Staunton,VA,24401,38.13402465,-79.08663528,,
1130A,Middlebrook Avenue,,,Staunton,VA,24401,38.13329275,-79.08524997,,
1132A,Middlebrook Avenue,,,Staunton,VA,24401,38.12946041,-79.08452235,,
1215A,Middlebrook Avenue,,,Staunton,VA,24401,38.13596206,-79.09835734,,
697A,Middlebrook Avenue,,,Staunton,VA,24401,38.14485586,-79.07836041,,
704A,Middlebrook Avenue,,,Staunton,VA,24401,38.14354481,-79.07703077,,
101,Midvale Crossing,,,Staunton,VA,24401,38.17498508,-79.09573469,,
103,Midvale Crossing,,,Staunton,VA,24401,38.17513508,-79.09583308,,
105,Midvale Crossing,,,Staunton,VA,24401,38.17523637,-79.0959823,,
107,Midvale Crossing,,,Staunton,VA,24401,38.17540901,-79.09617438,,
109,Midvale Crossing,,,Staunton,VA,24401,38.17550093,-79.09639712,,
111,Midvale Crossing,,,Staunton,VA,24401,38.17560839,-79.09653013,,
113,Midvale Crossing,,,Staunton,VA,24401,38.175748,-79.09665283,,
115,Midvale Crossing,,,Staunton,VA,24401,38.17589417,-79.09674876,,
201,Midvale Crossing,,,Staunton,VA,24401,38.17599671,-79.09680621,,
