addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
310,Sunnyside Street,,,Staunton,VA,24401,38.1574787,-79.06899923,,
404,Sunnyside Street,,,Staunton,VA,24401,38.15767252,-79.06879749,,
408,Sunnyside Street,,,Staunton,VA,24401,38.1577014,-79.06857338,,
410,Sunnyside Street,,,Staunton,VA,24401,38.15786141,-79.0686263,,
414,Sunnyside Street,,,Staunton,VA,24401,38.15790365,-79.06837411,,
416,Sunnyside Street,,,Staunton,VA,24401,38.15801109,-79.06827148,,
420,Sunnyside Street,,,Staunton,VA,24401,38.15818432,-79.06828944,,
422,Sunnyside Street,,,Staunton,VA,24401,38.15827715,-79.06821475,,
202,Surrey Road,,,Staunton,VA,24401,38.16164352,-79.10073557,,
204,Surrey Road,,,Staunton,VA,24401,38.16173416,-79.10048028,,
206,Surrey Road,,,Staunton,VA,24401,38.16179922,-79.10032401,,
208,Surrey Road,,,Staunton,VA,24401,38.16188028,-79.10010436,,
210,Surrey Road,,,Staunton,VA,24401,38.16201321,-79.09985339,,
212,Surrey Road,,,Staunton,VA,24401,38.16205632,-79.09969892,,
214,Surrey Road,,,Staunton,VA,24401,38.16214981,-79.09949923,,
216,Surrey Road,,,Staunton,VA,24401,38.16225764,-79.09925399,,
218,Surrey Road,,,Staunton,VA,24401,38.16235432,-79.0990444,,
220,Surrey Road,,,Staunton,VA,24401,38.16247132,-79.09884291,,
301,Sussex Drive,,,Staunton,VA,24401,38.16414982,-79.10836195,,
303,Sussex Drive,,,Staunton,VA,24401,38.16433118,-79.10814314,,
304,Sussex Drive,,,Staunton,VA,24401,38.16422709,-79.10766986,,
305,Sussex Drive,,,Staunton,VA,24401,38.16450363,-79.10783097,,
306,Sussex Drive,,,Staunton,VA,24401,38.16440586,-79.10734781,,
307,Sussex Drive,,,Staunton,VA,24401,38.16467127,-79.10754059,,
308,Sussex Drive,,,Staunton,VA,24401,38.16452295,-79.10713244,,
309,Sussex Drive,,,Staunton,VA,24401,38.16484344,-79.10728002,,
310,Sussex Drive,,,Staunton,VA,24401,38.16467946,-79.10687173,,
311,Sussex Drive,,,Staunton,VA,24401,38.16499836,-79.10702328,,
312,Sussex Drive,,,Staunton,VA,24401,38.16489585,-79.10654802,,
313,Sussex Drive,,,Staunton,VA,24401,38.16516877,-79.10680239,,
314,Sussex Drive,,,Staunton,VA,24401,38.1650586,-79.10629134,,
315,Sussex Drive,,,Staunton,VA,24401,38.16533788,-79.1065279,,
316,Sussex Drive,,,Staunton,VA,24401,38.16518858,-79.10600858,,
317,Sussex Drive,,,Staunton,VA,24401,38.16549564,-79.10632874,,
318,Sussex Drive,,,Staunton,VA,24401,38.16537605,-79.10581959,,
319,Sussex Drive,,,Staunton,VA,24401,38.16551944,-79.10597164,,
231,Sycamore Street,,,Staunton,VA,24401,38.15241638,-79.06814498,,
233,Sycamore Street,,,Staunton,VA,24401,38.15243635,-79.06833807,,
235,Sycamore Street,,,Staunton,VA,24401,38.15241793,-79.06850017,,
237,Sycamore Street,,,Staunton,VA,24401,38.15240642,-79.06867201,,
239,Sycamore Street,,,Staunton,VA,24401,38.15239857,-79.06885427,,
242,Sycamore Street,,,Staunton,VA,24401,38.15210606,-79.06855097,,
243,Sycamore Street,,,Staunton,VA,24401,38.15240223,-79.06906715,,
245,Sycamore Street,,,Staunton,VA,24401,38.15236723,-79.06949257,,
249,Sycamore Street,,,Staunton,VA,24401,38.15242363,-79.06991036,,
243A,Sycamore Street,,,Staunton,VA,24401,38.15243171,-79.06932421,,
8,Tams Street,,A,Staunton,VA,24401,38.15821325,-79.07015973,,
8,Tams Street,,B,Staunton,VA,24401,38.15815329,-79.07006163,,
8,Tams Street,,C,Staunton,VA,24401,38.15819991,-79.07009117,,
8,Tams Street,,,Staunton,VA,24401,38.1581557,-79.07014435,,
14,Tams Street,,,Staunton,VA,24401,38.15812075,-79.06988667,,
16,Tams Street,,,Staunton,VA,24401,38.15798212,-79.06971489,,
24,Tams Street,,,Staunton,VA,24401,38.15790456,-79.06955154,,
26,Tams Street,,,Staunton,VA,24401,38.15780605,-79.06946399,,
29,Tams Street,,,Staunton,VA,24401,38.1581178,-79.06930062,,
31,Tams Street,,,Staunton,VA,24401,38.15819937,-79.06922418,,
35,Tams Street,,,Staunton,VA,24401,38.15795571,-79.06888896,,
