addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,name,fixme
321,Sharon Lane,,,Staunton,VA,24401,38.13554785,-79.06263914,,
322,Sharon Lane,,,Staunton,VA,24401,38.13532221,-79.06229158,,
323,Sharon Lane,,,Staunton,VA,24401,38.13565198,-79.06224059,,
324,Sharon Lane,,,Staunton,VA,24401,38.13534789,-79.06208429,,
325,Sharon Lane,,,Staunton,VA,24401,38.13569405,-79.06192188,,
326,Sharon Lane,,,Staunton,VA,24401,38.13536834,-79.06186358,,
328,Sharon Lane,,,Staunton,VA,24401,38.13538339,-79.06166513,,
329,Sharon Lane,,,Staunton,VA,24401,38.13573127,-79.06151388,,
330,Sharon Lane,,,Staunton,VA,24401,38.13539676,-79.06145105,,
332,Sharon Lane,,,Staunton,VA,24401,38.13544177,-79.06125284,,
333,Sharon Lane,,,Staunton,VA,24401,38.13575341,-79.06130879,,
334,Sharon Lane,,,Staunton,VA,24401,38.13535104,-79.06070106,,
339,Sharon Lane,,,Staunton,VA,24401,38.13614775,-79.06018338,,
323A,Sharon Lane,,,Staunton,VA,24401,38.13623171,-79.0621951,,
329A,Sharon Lane,,,Staunton,VA,24401,38.13625557,-79.06153804,,
101,Shawn Circle,,,Staunton,VA,24401,38.17027941,-79.10607107,,
102,Shawn Circle,,,Staunton,VA,24401,38.17012379,-79.10583763,,
103,Shawn Circle,,,Staunton,VA,24401,38.16981191,-79.10617207,,
104,Shawn Circle,,,Staunton,VA,24401,38.16990206,-79.10577997,,
105,Shawn Circle,,,Staunton,VA,24401,38.16954189,-79.10625017,,
106,Shawn Circle,,,Staunton,VA,24401,38.16969604,-79.10575147,,
107,Shawn Circle,,,Staunton,VA,24401,38.16936741,-79.10625541,,
108,Shawn Circle,,,Staunton,VA,24401,38.16940076,-79.10560391,,
109,Shawn Circle,,,Staunton,VA,24401,38.16915701,-79.1063898,,
110,Shawn Circle,,,Staunton,VA,24401,38.16904585,-79.10574157,,
111,Shawn Circle,,,Staunton,VA,24401,38.16891026,-79.1063989,,
112,Shawn Circle,,,Staunton,VA,24401,38.16884455,-79.10582024,,
113,Shawn Circle,,,Staunton,VA,24401,38.16873024,-79.1064532,,
114,Shawn Circle,,,Staunton,VA,24401,38.16860462,-79.10587404,,
115,Shawn Circle,,,Staunton,VA,24401,38.16853523,-79.10667701,,
116,Shawn Circle,,,Staunton,VA,24401,38.16835205,-79.10598576,,
117,Shawn Circle,,,Staunton,VA,24401,38.16826781,-79.10659441,,
118,Shawn Circle,,,Staunton,VA,24401,38.16815184,-79.1061939,,
119,Shawn Circle,,,Staunton,VA,24401,38.16807872,-79.10669774,,
120,Shawn Circle,,,Staunton,VA,24401,38.1679347,-79.10626798,,
121,Shawn Circle,,,Staunton,VA,24401,38.16788797,-79.10678096,,
122,Shawn Circle,,,Staunton,VA,24401,38.16769286,-79.10635077,,
123,Shawn Circle,,,Staunton,VA,24401,38.1676693,-79.10681261,,
124,Shawn Circle,,,Staunton,VA,24401,38.16747928,-79.10641818,,
125,Shawn Circle,,,Staunton,VA,24401,38.16743507,-79.10678609,,
126,Shawn Circle,,,Staunton,VA,24401,38.16726973,-79.10638964,,
127,Shawn Circle,,,Staunton,VA,24401,38.16724278,-79.10682689,,
128,Shawn Circle,,,Staunton,VA,24401,38.16706907,-79.10634778,,
129,Shawn Circle,,,Staunton,VA,24401,38.16700776,-79.10695215,,
130,Shawn Circle,,,Staunton,VA,24401,38.16691566,-79.10636659,,
131,Shawn Circle,,,Staunton,VA,24401,38.1668145,-79.10684116,,
132,Shawn Circle,,,Staunton,VA,24401,38.16675973,-79.10653045,,
134,Shawn Circle,,,Staunton,VA,24401,38.1660126,-79.10585014,,
1801,Shenandoah Street,,,Staunton,VA,24401,38.16973563,-79.06193977,,
1805,Shenandoah Street,,,Staunton,VA,24401,38.1698509,-79.0614248,,
1809,Shenandoah Street,,,Staunton,VA,24401,38.16988994,-79.06112352,,
1818,Shenandoah Street,,,Staunton,VA,24401,38.17045978,-79.06054063,,
720,Shepherd Lane,,,Staunton,VA,24401,38.1707058,-79.07734511,,
807,Shepherd Lane,,,Staunton,VA,24401,38.17097058,-79.07713741,,
808,Shepherd Lane,,,Staunton,VA,24401,38.17096668,-79.07744988,,
299,Sherwood Avenue,,,Staunton,VA,24401,38.15288674,-79.06546882,,
301,Sherwood Avenue,,,Staunton,VA,24401,38.15323607,-79.06562329,,
305,Sherwood Avenue,,,Staunton,VA,24401,38.15336814,-79.0654908,,
306,Sherwood Avenue,,,Staunton,VA,24401,38.15350049,-79.0657228,,
309,Sherwood Avenue,,,Staunton,VA,24401,38.15342385,-79.06544939,,
311,Sherwood Avenue,,,Staunton,VA,24401,38.15356056,-79.06532827,,
314,Sherwood Avenue,,,Staunton,VA,24401,38.1536985,-79.06550007,,
315,Sherwood Avenue,,,Staunton,VA,24401,38.15364943,-79.06526369,,
316,Sherwood Avenue,,,Staunton,VA,24401,38.15378212,-79.06542708,,
320,Sherwood Avenue,,,Staunton,VA,24401,38.15386973,-79.06534742,,
321,Sherwood Avenue,,,Staunton,VA,24401,38.15375831,-79.0651591,,
324,Sherwood Avenue,,,Staunton,VA,24401,38.15399576,-79.06524966,,
325,Sherwood Avenue,,,Staunton,VA,24401,38.15390292,-79.06504474,,
329,Sherwood Avenue,,,Staunton,VA,24401,38.15406106,-79.06417732,,
330,Sherwood Avenue,,,Staunton,VA,24401,38.15414296,-79.06514703,,
334,Sherwood Avenue,,,Staunton,VA,24401,38.15427582,-79.06500245,,
342,Sherwood Avenue,,,Staunton,VA,24401,38.15450799,-79.06482015,,
348,Sherwood Avenue,,,Staunton,VA,24401,38.15464471,-79.06469904,,
353,Sherwood Avenue,,,Staunton,VA,24401,38.15465027,-79.06437103,,
354,Sherwood Avenue,,,Staunton,VA,24401,38.15484913,-79.06451484,,
355,Sherwood Avenue,,,Staunton,VA,24401,38.15474585,-79.06428306,,
359,Sherwood Avenue,,,Staunton,VA,24401,38.15483418,-79.06420639,,
362,Sherwood Avenue,,,Staunton,VA,24401,38.15505771,-79.06432143,,
365,Sherwood Avenue,,,Staunton,VA,24401,38.15505026,-79.06401884,,
369,Sherwood Avenue,,,Staunton,VA,24401,38.15535684,-79.06368634,,
372,Sherwood Avenue,,,Staunton,VA,24401,38.15536015,-79.06402295,,
380,Sherwood Avenue,,,Staunton,VA,24401,38.15561692,-79.06383454,,
385,Sherwood Avenue,,,Staunton,VA,24401,38.15505685,-79.06273863,,
635,Sherwood Lane,,,Staunton,VA,24401,38.15419898,-79.0638294,,
675,Sherwood Lane,,,Staunton,VA,24401,38.15450556,-79.06344926,,
683,Sherwood Lane,,,Staunton,VA,24401,38.15474851,-79.06333825,,
687,Sherwood Lane,,,Staunton,VA,24401,38.15491804,-79.06330027,,
171,Shutterlee Mill Lane,,,Staunton,VA,24401,38.18645249,-79.08054515,,
